Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
Honduras, HND,0.7052,6.7385,0.6464,23.3301,1.5475,2.8991,2.7032,0.1763,0.2938,8.5406,43.2517,5.4848,46,3,,,,,,,,,,,,,,,,,
Hungary, HUN,3.0432,16.0682,5.28,13.4206,1.0347,5.9038,3.8649,0.1978,1.339,5.3408,33.9318,7.4863,30,3,,,,,,,,,,,,,,,,,
Iceland, ISL,2.0403,22.2911,2.9915,10.7803,2.2195,7.5958,8.5746,0.4825,1.0753,5.3212,27.7089,3.019,97,1,,,,,,,,,,,,,,,,,
India, IND,0.2582,5.5622,1.4899,27.652,1.4303,0.298,3.2578,0.9734,1.1124,3.5757,44.4378,4.3504,95,1,,,,,,,,,,,,,,,,,
Indonesia, IDN,0.0346,3.372,0.121,31.9557,1.4179,0.9165,0.3631,1.833,2.4728,3.4584,46.6367,4.0809,82,3,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of), IRN,0,5.8494,1.3782,26.2179,2.8526,2.3077,1.2179,0.1122,1.6346,4.5513,44.1506,4.4712,75,5,,,,,,,,,,,,,,,,,
Iraq, IRQ,0.0997,4.1476,0.9372,29.7308,1.5753,1.4756,0.8774,0.2991,0.339,4.7059,45.8225,7.2383,89,2,,,,,,,,,,,,,,,,,
Ireland, IRL,3.2284,14.0167,2.9997,14.4471,1.8832,5.0982,4.5601,0.3901,1.7487,6.0533,35.9833,5.4479,30,3,,,,,,,,,,,,,,,,,
Palestine, PAL,0.6267,11.5653,0.5127,15.297,2.6919,5.7257,4.0023,1.581,1.0255,3.6177,38.4133,9.8846,79,1,,,,,,,,,,,,,,,,,
Italy, ITA,1.4624,12.5657,2.1014,16.2999,1.9878,5.0121,3.9188,0.213,0.9655,4.4299,37.4414,9.1722,63,4,,,,,,,,,,,,,,,,,
Jamaica, JAM,1.3423,9.4685,1.5781,16.1255,2.5757,3.8999,2.8297,1.0521,2.739,9.269,40.5405,4.5892,71,2,,,,,,,,,,,,,,,,,
Japan, JPN,2.4472,10.1594,0.5562,19.6329,0.8713,3.6522,2.0393,2.0022,1.1123,4.4679,39.8406,6.7482,85,1,,,,,,,,,,,,,,,,,
Jordan, JOR,0.0553,6.0796,0.5527,22.0892,1.308,2.8924,2.1002,0.9211,0.8106,6.9823,43.9204,8.6035,87,1,,,,,,,,,,,,,,,,,
Kazakhstan, KAZ,1.5175,14.1114,1.1264,14.6746,1.627,5.1001,6.9775,0.2972,2.9568,4.1302,35.8886,7.7441,89,1,,,,,,,,,,,,,,,,,
Kenya, KEN,0.6828,5.9101,0.3532,26.3951,1.3892,1.8837,3.2494,0.4003,3.8615,3.6732,44.1017,3.2964,80,2,,,,,,,,,,,,,,,,,
"Korea, South", KOR,2.0481,9.3351,1.2318,20.5847,1.1279,4.6453,0.653,1.0834,0.564,5.2983,40.6649,6.6934,72,1,,,,,,,,,,,,,,,,,
Kuwait, KWT,0,9.1727,0.5806,20.4209,2.5109,4.1655,2.9753,0.4644,1.2337,6.1393,40.8418,5.762,97,1,,,,,,,,,,,,,,,,,
Kyrgyzstan, KGZ,0.7328,10.992,0.7507,22.8776,0.8937,3.0742,6.5773,0.0179,3.092,4.3968,39.0349,2.4307,92,2,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic, LAO,1.1323,4.7916,0.6072,29.488,4.1516,2.9865,0.1477,1.1815,2.4614,1.5425,45.2248,1.4605,88,NA,,,,,,,,,,,,,,,,,
